optionArchive,dataElementArchive,comment,dataElementNouveau,categorieOptionComboNouveau
,DVhfJVZxJC0,IMPORT_CUR_PALU TRANS_CUR Premier contact 0-4 ans,xzBPoXWeGHB,PqscZCHXPa5
,Egt1wOQtC55,IMPORT_CUR_PALU TRANS_CUR Premier contact 5ans et plus,xzBPoXWeGHB,zyaa0ai9QUe
,iP90CxqURNX,IMPORT_CUR_PALU TRANS_CUR Contacts observation 0-4 ans,feIGuLV2ksk,PqscZCHXPa5
,HatPTyebn5f,IMPORT_CUR_PALU TRANS_CUR Contacts observations 5ans et plus,feIGuLV2ksk,zyaa0ai9QUe
,wOEfMlPO7Q8,IMPORT_CUR_PALU TRANS_CUR Contacts traitements 0-4 ans,EyJLhyr1lor,PqscZCHXPa5
,Zr3YbSvm8Vm,IMPORT_CUR_PALU TRANS_CUR Contacts traitement 5ans et plus,EyJLhyr1lor,zyaa0ai9QUe
,CDllcQWN03e,IMPORT_CUR_PALU TRANS_CUR Consultation contre referee 0-4 ans,ywG6xBATHao,PqscZCHXPa5
,FraEQ7CqK6m,IMPORT_CUR_PALU TRANS_CUR Consultation contre referee 5ans et plus,ywG6xBATHao,zyaa0ai9QUe
,ANGWGI27ed2,IMPORT_CUR_PALU TRANS_CUR Consultation referee 0-4 ans,I6HOpo5R0vF,PqscZCHXPa5
,yWKIAHHj6aI,IMPORT_CUR_PALU TRANS_CUR Consultation referee 5ans et plus,I6HOpo5R0vF,zyaa0ai9QUe
,pu0bumO52xr,IMPORT_CUR_PALU TRANS_CUR Contacts ulterieurs 0-4 ans,M0fz4773Gnm,PqscZCHXPa5
,rImlaJbmcan,IMPORT_CUR_PALU TRANS_CUR Contacts ulterieurs 5ans et plus,M0fz4773Gnm,zyaa0ai9QUe
pnM56UTzeV7:nTWh8M56c1S,lOcvVwulcR0,IMPORT_CUR_PALU Palu Cas suspects de Paludisme enregistre par la (les) structure(s),xJrga6d1jm3,mb3bwlD8mGb
pnM56UTzeV7:NvSpE5FlV7l,lOcvVwulcR0,IMPORT_CUR_PALU Palu Cas suspects de Paludisme enregistre par la (les) structure(s),xJrga6d1jm3,Jj664zsrBSS
,n64UFGB7GN0,IMPORT_CUR_PALU Palu Cas suspects de Paludisme chez les FE enregistre par la (les) structure(s),xJrga6d1jm3,OYsmvyhK5NS
,pSr56LFR7I6,IMPORT_CUR_PALU TRANS_Palu Cas teste de Paludisme enregistre par la (les) structure(s) < 5 ans_GE,EH1aOtaF9UH,KRlV69Mk2uM
,lGlLggx74e4,IMPORT_CUR_PALU TRANS_Palu Cas teste de Paludisme enregistre par la (les) structure(s) >= 5 ans_GE,EH1aOtaF9UH,xSkrOarkpsU
W0r8kqk8lmz:yIq2z0uTOQM,jQqBsnxB6dG,IMPORT_CUR_PALU Palu Cas teste de Paludisme chez les FE enregistre par la (les) structure(s),EH1aOtaF9UH,P9fsoGl5Fu0
,qUcvZjBlAtW,IMPORT_CUR_PALU TRANS_Palu Cas teste de Paludisme enregistre par la (les) structure(s) < 5 ans_TDR,EH1aOtaF9UH,Rq1Q9GBqy0G
,JH0QVtl76YM,IMPORT_CUR_PALU TRANS_Palu Cas teste de Paludisme enregistre par la (les) structure(s) >= 5 ans_TDR,EH1aOtaF9UH,clReIzBCU10
W0r8kqk8lmz:v8FViyMOzAV,jQqBsnxB6dG,IMPORT_CUR_PALU Palu Cas teste de Paludisme chez les FE enregistre par la (les) structure(s),EH1aOtaF9UH,odl5ueXctBl
