name,uid,M2014,F2014,M2015,F2015,M2016,F2016,M2017,F2017,M2018,F2018,M2019,F2019,M2020,F2020,M2021,F2021,M2022,F2022,M2023,F2023,M2024,F2024,M2025,F2025
CU Boffa,qtZKDodnoGk,13545,13835,13963,14238,14378,14637,14803,15045,15236,15460,15678,15883,16128,16314,16588,16753,17056,17200,17532,17655,18018,18119,18512,18591
CR Kolia,dPgWtIFJP5V,17966,18100,18521,18627,19071,19149,19634,19682,20209,20225,20795,20778,21392,21342,22001,21916,22622,22501,23254,23096,23898,23703,24553,24320
CR Doupourou,lDM9e2ybrAd,10753,10849,11085,11165,11415,11478,11752,11797,12096,12123,12446,12454,12804,12792,13169,13136,13540,13487,13918,13844,14304,14207,14696,14577
CR Koba Tat�ma,MkaUSwclI6l,25182,26392,25960,27161,26732,27922,27521,28700,28327,29492,29149,30299,29987,31122,30841,31959,31712,32813,32598,33681,33501,34566,34420,35467
CR Lisso,Pob7FbtKblV,5953,5906,6137,6078,6320,6248,6506,6422,6696,6599,6890,6780,7088,6963,7290,7151,7496,7341,7705,7536,7918,7733,8136,7935
CR Mankountan,k4R7pdeVJ4P,8271,9034,8527,9298,8781,9559,9040,9825,9305,10096,9575,10373,9851,10655,10132,10942,10418,11234,10709,11532,11006,11835,11308,12143
CR Tamita,UfaDDGfDXu3,6896,7523,7109,7742,7321,7959,7537,8181,7758,8407,7983,8637,8213,8872,8447,9111,8685,9354,8928,9602,9176,9854,9428,10111
CR Tougnifily,u0SyB3iGx3r,16614,17590,17127,18103,17636,18611,18157,19129,18689,19657,19231,20195,19784,20744,20348,21302,20923,21871,21507,22450,22103,23040,22710,23640
DPS Boffa,L1Gr2bAsR4T,0,1,-1,-1,0,0,1,-1,0,0,1,1,1,-1,0,-1,-1,-1,2,-1,-1,0,0,1
CR Bintimodia,TBtk2TssHXe,12470,13575,12855,13970,13238,14363,13629,14763,14028,15170,14435,15586,14851,16009,15274,16440,15705,16880,16145,17327,16592,17782,17047,18246
CU Bok�,LtyLrVpGIvI,31088,30873,32047,31771,33000,32662,33974,33570,34968,34496,35981,35440,37015,36401,38069,37380,39143,38377,40236,39392,41349,40426,42483,41479
CR Dabiss,kbeHKCPDiJn,14696,15450,15150,15900,15601,16346,16062,16801,16532,17265,17012,17738,17501,18219,17999,18709,18507,19209,19025,19718,19552,20236,20088,20763
CR Kamsar,xNjOrO4Tv7o,57352,57019,59123,58679,60880,60323,62677,62001,64510,63712,66381,65454,68288,67230,70232,69038,72213,70879,74230,72755,76284,74665,78376,76609
CR Kanfarand�,dvVn1oyFpHw,14801,14856,15258,15288,15712,15717,16175,16154,16649,16599,17131,17054,17624,17516,18125,17987,18637,18467,19157,18956,19688,19454,20228,19960
CR Kolaboui,gm7R5LKsbtY,27596,30375,28449,31261,29296,32138,30162,33033,31045,33946,31947,34876,32866,35823,33803,36788,34757,37771,35730,38772,36720,39791,37728,40829
CR Malapouya,lDLffLJDQgr,4956,5409,5109,5567,5262,5723,5417,5883,5576,6045,5738,6211,5903,6379,6071,6551,6242,6726,6417,6904,6595,7086,6776,7271
CR Sangar�di,Rqdx5kOOzsK,38228,38901,39408,40034,40580,41156,41778,42301,43001,43469,44248,44658,45519,45869,46816,47104,48136,48361,49482,49641,50851,50944,52246,52271
CR Sansal�,gLb9hqdfYNF,5888,6095,6070,6272,6250,6448,6435,6627,6623,6810,6815,6997,7011,7187,7211,7380,7414,7577,7621,7778,7832,7982,8047,8190
CR Tan�n�,ULO6UpoFLke,16688,17578,17204,18090,17716,18598,18239,19116,18773,19643,19318,20181,19873,20729,20439,21287,21016,21855,21604,22434,22202,23023,22811,23624
DPS Bok�,THgRhO9eF0I,0,0,0,0,-1,-1,-1,0,0,1,0,-1,-1,0,1,1,2,0,-1,-2,1,-1,3,0
CR Baguinet,fW1FgNaAg59,6585,7385,6789,7601,6991,7814,7198,8032,7408,8254,7624,8480,7843,8710,8067,8945,8295,9184,8527,9428,8763,9675,9004,9928
Banguigny,DSFsYo5FT9p,4037,4705,4162,4842,4286,4978,4412,5117,4542,5259,4674,5403,4808,5550,4946,5699,5085,5852,5228,6007,5373,6165,5520,6326
CU Fria,eRDLTTPxuXz,29731,32418,30650,33363,31563,34299,32495,35254,33447,36228,34418,37221,35408,38231,36418,39261,37446,40310,38493,41378,39560,42465,40646,43573
CR Torm�lin,qykxLNauieS,6118,6578,6307,6770,6495,6960,6686,7153,6882,7351,7082,7552,7286,7757,7493,7966,7705,8179,7920,8396,8140,8616,8363,8841
DPS Fria,jiGkwTWpBeq,0,0,-1,-1,-1,0,1,1,1,0,0,0,0,1,-1,1,0,-1,0,-1,-1,1,0,-1
CR Foulamory,oYkE7BXh3UI,4940,5318,5093,5472,5244,5626,5399,5783,5557,5942,5719,6105,5883,6271,6051,6440,6222,6612,6396,6787,6573,6965,6753,7147
CU Gaoual,p1d5DmA6a4D,9959,10801,10267,11115,10572,11427,10885,11746,11203,12070,11529,12401,11860,12737,12198,13080,12543,13430,12894,13785,13251,14148,13615,14517
CR Kakony,BQxJNBgwq0J,15499,17433,15979,17941,16455,18445,16941,18959,17437,19483,17944,20017,18460,20561,18987,21115,19523,21679,20069,22254,20626,22839,21192,23435
CR Koumbia,OJ4TN0nZnlv,22456,24391,23150,25101,23839,25806,24543,26525,25262,27257,25996,28004,26743,28764,27506,29539,28282,30328,29073,31131,29879,31950,30699,32783
CR Kounsitel,HeFLT4db05H,8383,10221,8643,10520,8901,10815,9164,11117,9433,11425,9707,11738,9987,12058,10272,12383,10563,12714,10858,13051,11160,13395,11467,13745
CR Malanta,ln9AO71blUq,6470,7833,6670,8062,6869,8289,7072,8520,7280,8756,7492,8996,7707,9241,7927,9490,8152,9744,8380,10002,8612,10266,8849,10534
CR Touba,BLLU0gRBVpY,12289,14040,12669,14450,13047,14855,13432,15270,13826,15692,14228,16122,14637,16560,15055,17006,15480,17461,15913,17924,16355,18395,16804,18875
CR Wendou Mbour,vv02QA4LwNm,12015,13314,12386,13703,12755,14087,13132,14480,13517,14880,13909,15288,14309,15703,14717,16126,15133,16557,15556,16995,15987,17442,16426,17897
DPS Gaoual,Motdz3Bql7L,1,0,0,0,-1,1,1,-1,1,0,-1,-1,2,-1,1,0,0,-1,1,1,0,-1,1,-2
CR Guinguan,llzgke9gnKw,6960,7465,7175,7683,7388,7898,7606,8118,7829,8342,8056,8571,8288,8804,8524,9041,8765,9282,9010,9528,9260,9778,9514,10033
CR Kamabi,mm63CGwGpgZ,7889,8389,8133,8633,8375,8875,8622,9122,8875,9374,9132,9631,9395,9892,9662,10159,9935,10430,10213,10706,10496,10987,10784,11274
CU Koundara,QB3rld9EUQe,13525,13971,13943,14378,14358,14782,14782,15193,15214,15612,15656,16040,16106,16475,16565,16918,17032,17370,17508,17830,17993,18298,18487,18775
CR Sambailo,PXDpgzsqAOA,7744,8016,7983,8250,8220,8481,8463,8717,8711,8958,8963,9203,9221,9453,9484,9707,9751,9966,10024,10230,10301,10499,10584,10772
CR Sar�boido,eNzEzrlDJP6,16499,17318,17008,17822,17514,18322,18031,18832,18559,19352,19098,19882,19647,20422,20207,20972,20777,21531,21358,22102,21949,22682,22552,23273
CR Termess�,J4kssFmkur2,7230,8178,7454,8416,7676,8652,7902,8894,8134,9139,8370,9390,8611,9645,8857,9905,9107,10170,9362,10439,9621,10714,9886,10993
CR Youkounkoun,yERbnihVh9m,3801,4085,3918,4204,4035,4322,4154,4443,4276,4565,4400,4690,4526,4818,4655,4947,4787,5080,4921,5214,5057,5351,5196,5491
DPS Koundara,pChTVBEAPJJ,-1,0,-1,0,-1,1,1,0,0,2,1,-1,0,-1,0,-1,0,-1,-1,-1,0,0,-1,0
IRS Bok�,fxtOlL8b8mb,-1,0,0,0,1,1,0,0,1,-1,0,-1,2,-1,1,-2,1,-2,2,-1,2,-3,1,-2
CU Dixinn,FbulqHRCtsA,69176,67833,71311,69807,73431,71763,75597,73759,77808,75793,80064,77866,82363,79977,84708,82128,87096,84318,89529,86548,92006,88820,94529,91133
CU Kaloum,YUD6N3YOBuy,31048,31984,32007,32915,32959,33838,33932,34780,34926,35740,35939,36718,36972,37714,38025,38729,39098,39763,40190,40816,41303,41887,42436,42979
CU Matam,zzBqOOqNQdt,72195,72379,74423,74486,76636,76574,78898,78704,81207,80876,83561,83088,85962,85342,88410,87638,90903,89976,93443,92357,96029,94781,98663,97250
CU Matoto,FJzm5nC8oNT,336943,335096,347344,344849,357670,354515,368225,364376,378998,374428,389986,384669,401189,395102,412612,405729,424248,416552,436099,427573,448168,438797,460459,450227
CU Ratoma,b6ZzbPFKXJG,331040,327374,341257,336901,351401,346343,361770,355977,372353,365796,383148,375800,394154,385991,405376,396372,416807,406945,428449,417711,440306,428676,452380,439841
ISV Conakry,odY5MzWb1jc,0,0,0,0,0,0,1,0,0,-1,-1,0,1,0,-1,-1,1,-2,0,0,1,1,1,0
CR Arfamoussayah,cniFm57HbH6,7780,8887,8021,9146,8260,9403,8504,9665,8753,9932,9007,10205,9267,10482,9531,10765,9800,11052,10074,11345,10354,11644,10638,11947
CR Banko,fHCoQADZ1kE,11283,12544,11632,12910,11978,13273,12332,13642,12694,14019,13062,14404,13438,14795,13821,15193,14212,15599,14609,16013,15014,16434,15426,16862
CR Bissikrima,fCKbRSJ9upd,13523,15378,13942,15827,14357,16271,14781,16725,15215,17187,15657,17658,16107,18138,16567,18627,17035,19125,17511,19632,17997,20148,18491,20674
CU Dabola,DtamTBvcA2u,18613,20205,19188,20794,19759,21378,20343,21973,20939,22580,21547,23199,22167,23829,22798,24470,23442,25124,24098,25789,24765,26467,25445,27157
CR Dogomet,XYx5IaGbAKU,12978,15025,13380,15463,13779,15898,14186,16341,14602,16793,15026,17253,15459,17722,15900,18200,16349,18686,16807,19182,17273,19687,17747,20200
CR Kankama,NzCtTJwakTz,6363,7056,6560,7262,6755,7466,6955,7674,7159,7886,7366,8102,7578,8322,7794,8546,8015,8775,8239,9007,8467,9244,8700,9485
CR Kindoye,kbmlNePgKW3,3075,3366,3170,3464,3264,3561,3361,3660,3459,3761,3560,3864,3662,3969,3767,4076,3873,4185,3981,4296,4092,4409,4204,4524
CR Konendou,TcEpaa6mLHE,4711,5394,4857,5552,5001,5707,5149,5867,5300,6029,5454,6194,5611,6362,5771,6534,5934,6708,6100,6886,6270,7067,6442,7252
CR Nd�ma,wX8otKbLe3M,7849,8765,8091,9021,8332,9274,8579,9532,8830,9796,9086,10064,9348,10337,9614,10616,9886,10900,10162,11188,10444,11483,10731,11782
DPS Dabola,GUSZlo8f9t8,0,2,-1,0,0,0,0,1,-1,1,1,0,0,1,1,0,0,0,2,1,-1,-1,1,1
CR Banora,nokLRfYRMHV,16747,17388,17264,17894,17778,18396,18303,18908,18838,19430,19385,19962,19942,20503,20510,21055,21089,21617,21678,22190,22279,22772,22890,23366
CR Dialakoro,uWfLv71b1gA,7143,7876,7364,8105,7583,8333,7807,8565,8036,8802,8269,9043,8507,9289,8750,9539,8997,9794,9249,10053,9505,10317,9766,10586
